course_id,title,description,provider,skills,difficulty,duration_hours,format,prerequisites,career_roles,url,tags
c_kaggle_intro_dl,Kaggle Intro to Deep Learning,"Short intro to neural networks with Keras and TensorFlow.",Kaggle,deep_learning,4,5,interactive,ml_fundamentals,ml_engineer;ai_engineer,https://www.kaggle.com/learn/intro-to-deep-learning,deep-learning;short
c_fsdl,Full Stack Deep Learning,"The full ML lifecycle: project setup, data, training, deployment, monitoring.",Full Stack Deep Learning,ml_system_design;mlops;monitoring,4,15,course,ml_fundamentals;docker,ml_engineer;ai_engineer,https://fullstackdeeplearning.com/,mlops;production;hands-on
c_madewithml,Made With ML,"Design, build, and ship an end-to-end ML system from scratch.",Made With ML,mlops;ml_system_design;fastapi,4,20,course,ml_fundamentals;python,ml_engineer;ai_engineer,https://madewithml.com/,mlops;production;project
c_kaggle_sql,Kaggle Learn: SQL,"Query big datasets with SQL: selects, joins, aggregation, subqueries.",Kaggle,sql,2,4,interactive,,data_scientist;data_analyst;ml_engineer,https://www.kaggle.com/learn/sql,sql;short
c_w3_sql,W3Schools SQL Tutorial,"Interactive SQL reference and exercises from basics to joins.",W3Schools,sql,2,10,interactive,,data_analyst;data_scientist;web_developer,https://www.w3schools.com/sql/,sql;reference
c_kaggle_dataviz,Kaggle Learn: Data Visualization,"Make compelling charts with seaborn and matplotlib.",Kaggle,data_viz,2,5,interactive,pandas,data_scientist;data_analyst;ml_engineer,https://www.kaggle.com/learn/data-visualization,visualization;short
c_kaggle_datacleaning,Kaggle Learn: Data Cleaning,"Handle missing values, duplicates, and inconsistent data.",Kaggle,data_cleaning,2,5,interactive,pandas,data_scientist;data_analyst;ml_engineer,https://www.kaggle.com/learn/data-cleaning,data;short
c_kaggle_feature_eng,Kaggle Learn: Feature Engineering,"Feature creation, target encoding, and feature selection techniques.",Kaggle,feature_engineering,3,5,interactive,pandas;ml_fundamentals,ml_engineer;data_scientist;ai_engineer,https://www.kaggle.com/learn/feature-engineering,ml;short
c_kaggle_ml_explainability,Kaggle Machine Learning Explainability,"Use SHAP and permutation importance to explain model predictions.",Kaggle,model_evaluation;feature_engineering,3,4,interactive,ml_fundamentals,ml_engineer;data_scientist,https://www.kaggle.com/learn/machine-learning-explainability,ml;interpretability;short
c_git_fcc,Git and GitHub Crash Course,"Learn Git basics and GitHub workflow with hands-on practice.",freeCodeCamp,git,1,5,video,,software_engineer;web_developer;ml_engineer;cloud_engineer,https://www.youtube.com/watch?v=RGOj5yH7evk,git;video
c_3b1b_linalg,Essence of Linear Algebra,"Visual intuition for vectors, matrices, eigenvalues, and SVD.",3Blue1Brown,linalg;numpy,2,5,video,python,ml_engineer;ai_engineer,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,math;video
c_fastapi_docs,FastAPI Official Documentation,"Build modern Python APIs with automatic OpenAPI docs and pydantic models.",FastAPI,fastapi,3,8,docs,python,ml_engineer;ai_engineer;software_engineer,https://fastapi.tiangolo.com/,api;reference
c_docker_fcc,Docker Tutorial for Beginners,"Containerize applications: images, Dockerfiles, volumes, and Compose.",freeCodeCamp,docker,3,5,video,linux,ml_engineer;cloud_engineer;devops_engineer;software_engineer,https://www.youtube.com/watch?v=fqMOX6JJhGo,containers;video
c_mlops_coursera,MLOps Specialization,"Production ML systems: deployment, monitoring, and continuous improvement.",DeepLearning.AI,mlops;monitoring;ml_system_design,4,60,course,ml_fundamentals;docker;fastapi,ml_engineer;ai_engineer,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,mlops;structured
c_aws_essentials,AWS Cloud Practitioner Essentials,"Cloud concepts, core AWS services, pricing, and security fundamentals.",AWS Training,cloud;aws,2,10,course,linux,cloud_engineer;devops_engineer,https://aws.amazon.com/training/learn-about/cloud-practitioner/,cloud;aws;foundation
c_aws_fcc_cp,AWS Certified Cloud Practitioner (freeCodeCamp),"Full video prep covering AWS services, pricing, and best practices.",freeCodeCamp,aws,3,14,video,cloud,cloud_engineer;devops_engineer,https://www.youtube.com/watch?v=SOTamWNgDKc,aws;video;certification
c_terraform_fcc,Terraform Tutorial,"Provision cloud infrastructure as code with Terraform.",freeCodeCamp,terraform,3,4,video,cloud,cloud_engineer;devops_engineer,https://www.youtube.com/watch?v=SLB_c_ayRMo,iac;video
c_k8s_fcc,Kubernetes Course,"Deploy and manage containerized applications on Kubernetes.",freeCodeCamp,kubernetes,4,5,video,docker;cloud,cloud_engineer;devops_engineer,https://www.youtube.com/watch?v=s_o8dwzRlu4,kubernetes;video
c_ghactions_docs,GitHub Actions Documentation,"Automate workflows: CI/CD pipelines built into GitHub.",GitHub,cicd,3,6,docs,git;docker,devops_engineer;software_engineer;cloud_engineer,https://docs.github.com/en/actions,cicd;reference
c_linuxjourney,Linux Journey,"Interactive path from Linux basics to advanced system administration.",Linux Journey,linux;bash,2,10,interactive,,cloud_engineer;devops_engineer;cybersecurity_analyst;software_engineer,https://linuxjourney.com/,linux;foundation;interactive
c_netacad_intro_cyber,Introduction to Cybersecurity,"Cisco's free course on cyber threats, vulnerabilities, and defenses.",Cisco Networking Academy,security_fundamentals,2,15,course,networking,cybersecurity_analyst;penetration_tester,https://www.netacad.com/courses/cybersecurity/introduction-cybersecurity,security;foundation
c_messer_net,Professor Messer Network+,"Comprehensive networking video course covering the Network+ syllabus.",Professor Messer,networking;network_security,2,30,video,security_fundamentals,cybersecurity_analyst;cloud_engineer,https://www.professormesser.com/network-plus/n10-008/n10-008-video/n10-008-training-course/,networking;video
c_messer_security,Professor Messer Security+,"Full Security+ video course: threats, cryptography, and defense.",Professor Messer,security_fundamentals;cryptography,3,40,video,networking;linux,cybersecurity_analyst;penetration_tester,https://www.professormesser.com/security-plus/,security;video;certification
c_tryhackme,TryHackMe,"Hands-on security labs and capture-the-flag rooms for beginners.",TryHackMe,security_fundamentals;pen_testing;web_security,2,20,tool,linux,cybersecurity_analyst;penetration_tester,https://tryhackme.com/,security;labs;hands-on
c_owasp_top10,OWASP Top 10,"The standard awareness document for web application security risks.",OWASP,web_security,3,4,docs,security_fundamentals,penetration_tester;cybersecurity_analyst,https://owasp.org/www-project-top-ten/,web-security;reference
c_portswigger,PortSwigger Web Security Academy,"Free interactive labs for learning web security vulnerabilities.",PortSwigger,web_security,3,20,tool,security_fundamentals,penetration_tester;cybersecurity_analyst,https://portswigger.net/web-security,web-security;labs
c_khan_crypto,Khan Academy Cryptography,"Journey through the history and math of cryptography.",Khan Academy,cryptography,3,8,course,security_fundamentals,cybersecurity_analyst;penetration_tester,https://www.khanacademy.org/computing/computer-science/cryptography,cryptography;foundation
c_mitre_attck,MITRE ATT&CK,"A knowledge base of adversary tactics and techniques used in the wild.",MITRE,threat_intel,3,4,docs,security_fundamentals,cybersecurity_analyst,https://attack.mitre.org/,threat-intel;reference
c_splunk_free,Splunk Free Training,"Learn to search, analyze, and visualize machine data with Splunk.",Splunk,siem,3,6,course,security_fundamentals,cybersecurity_analyst,https://www.splunk.com/en_us/training/free-courses/overview.html,siem;logs
c_od_project,The Odin Project,"A free full-stack curriculum: HTML, CSS, JavaScript, and Node.",The Odin Project,html_css;javascript;node;git,2,60,course,,web_developer;software_engineer,https://www.theodinproject.com/,web;foundation;fullstack
c_fcc_rwd,freeCodeCamp Responsive Web Design,"Certification course covering HTML and CSS fundamentals.",freeCodeCamp,html_css,1,60,interactive,,web_developer,https://www.freecodecamp.org/learn/2022/responsive-web-design/,web;foundation
c_js_info,JavaScript.info,"A modern, thorough guide to the JavaScript language.",javascript.info,javascript,2,40,book,html_css,web_developer;software_engineer,https://javascript.info/,javascript;reference
c_react_docs,React Learn,"The official React tutorial: components, state, effects, and more.",React,react,3,20,docs,javascript,web_developer,https://react.dev/learn,react;reference
c_node_fcc,Node.js and Express Tutorial,"Build backend services with Node.js and Express.",freeCodeCamp,node;rest_apis,3,8,video,javascript,web_developer;software_engineer,https://www.youtube.com/watch?v=TlB_eWDSMt4,node;video
c_sysdesign_primer,System Design Primer,"Learn how to design large-scale systems with examples.",donnemartin (GitHub),system_design,4,20,book,databases;rest_apis,software_engineer,https://github.com/donnemartin/system-design-primer,system-design;reference
c_cs50web,CS50's Web Programming with Python and JavaScript,"Harvard's web programming course: Django, JS, and full-stack projects.",Harvard University,html_css;javascript;python;sql,3,60,course,html_css,web_developer;software_engineer,https://cs50.harvard.edu/web/,web;structured
c_fcc_ml_python,freeCodeCamp Machine Learning with Python,"Use TensorFlow and scikit-learn to build ML models with freeCodeCamp's curriculum.",freeCodeCamp,ml_fundamentals;deep_learning,3,40,course,python,ml_engineer;data_scientist;ai_engineer,https://www.freecodecamp.org/learn/machine-learning-with-python/,ml;structured
c_dlai_short_courses,DeepLearning.AI Short Courses,"Focused hands-on courses on LLMs, RAG, and applied AI topics.",DeepLearning.AI,transform_models;nlp,4,6,course,python;deep_learning,ai_engineer;ml_engineer,https://www.deeplearning.ai/short-courses/,llm;rag;short
c_realpython,Real Python Tutorials,"In-depth articles and tutorials for practical Python.",Real Python,python,2,10,article,,software_engineer;data_scientist;ml_engineer,https://realpython.com/,python;articles
